"gage_id","nws_id","agency","station_name","domain","domain_id","nwm_v3_calibration","headwater_calibration","latitude","longitude"
"01605500","FKLW2","USGS","SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV","CONUS","3","true","true","38.63567247","-79.3378199"
"01606000","CABW2","USGS","N F SOUTH BRANCH POTOMAC RIVER AT CABINS, WV","CONUS","3","true","true","38.9845546","-79.2336508"
"01609000","OLTM2","USGS","TOWN CREEK NEAR OLDTOWN, MD","CONUS","3","true","true","39.5532222","-78.555"
"01611500","GCPW2","USGS","CACAPON RIVER NEAR GREAT CACAPON, WV","CONUS","3","true","true","39.5823158","-78.3097312"
"01613095","HANM2","USGS","TONOLOWAY CREEK NEAR HANCOCK, MD","CONUS","3","true","true","39.7063611","-78.15275"
"01613525","PECM2","USGS","LICKING CREEK AT PECTONVILLE, MD","CONUS","3","true","true","39.67627778","-78.0425278"
"01613900","HFDV2","USGS","HOGUE CREEK NEAR HAYFIELD, VA","CONUS","3","true","true","39.2145479","-78.2880592"
"01615000","BYVV2","USGS","OPEQUON CREEK NEAR BERRYVILLE, VA","CONUS","3","true","true","39.1747222","-78.0783333"
"02BF002","","ENVCA","","CONUS","3","false","true","46.86083","-83.97194"
"01596500","BTNM2","USGS","SAVAGE RIVER NEAR BARTON, MD","CONUS","3","true","true","39.57005556","-79.1019444"
"01599000","WSTM2","USGS","GEORGES CREEK AT FRANKLIN, MD","CONUS","3","true","true","39.49391667","-79.0446944"
"01620500","SKVV2","USGS","NORTH RIVER NEAR STOKESVILLE, VA","CONUS","3","true","true","38.335","-79.2391667"
"01616500","MBGW2","USGS","OPEQUON CREEK NEAR MARTINSBURG, WV","CONUS","3","true","true","39.42371047","-77.9386084"
"01634500","WCCV2","USGS","CEDAR CREEK NEAR WINCHESTER, VA","CONUS","3","true","true","39.0812176","-78.3294486"
"01636690","LVTV2","USGS","PINEY RUN NEAR LOVETTSVILLE, VA","CONUS","3","true","true","39.3108333","-77.7185"
"01638480","TAYV2","USGS","CATOCTIN CREEK AT TAYLORSTOWN, VA","CONUS","3","true","true","39.25510206","-77.5763778"
"01639500","BRUM2","USGS","BIG PIPE CREEK AT BRUCEVILLE, MD","CONUS","3","true","true","39.6123611","-77.2374444"
"01632000","COOV2","USGS","N F SHENANDOAH RIVER AT COOTES STORE, VA","CONUS","3","true","true","38.63706254","-78.852803"
"01632900","NWMV2","USGS","SMITH CREEK NEAR NEW MARKET, VA","CONUS","3","true","true","38.69345016","-78.6427935"
"01643700","MDLV2","USGS","GOOSE CREEK NEAR MIDDLEBURG, VA","CONUS","3","true","true","38.98649818","-77.7966614"
"01644000","LEEV2","USGS","GOOSE CREEK NEAR LEESBURG, VA","CONUS","3","true","true","39.01955309","-77.5774918"
"01645000","DAWM2","USGS","SENECA CREEK AT DAWSONVILLE, MD","CONUS","3","true","true","39.1280833","-77.33577778"
"01649500","","USGS","NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD","CONUS","3","true","true","38.96025","-76.9259722"
"02BC006","","ENVCA","","CONUS","3","false","true","48.16028","-85.730528"
"01653600","PSCM2","USGS","PISCATAWAY CREEK AT PISCATAWAY, MD","CONUS","3","true","true","38.70577778","-76.9661944"
"02BB003","","ENVCA","","CONUS","3","false","true","48.77389","-86.29694"
"02FE008","","ENVCA","","CONUS","3","false","true","43.81278","-81.30695"
"01669000","TPPV2","USGS","PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA","CONUS","3","true","true","37.8770819","-76.900521"
"01669520","DGSV2","USGS","DRAGON SWAMP AT MASCOT, VA","CONUS","3","true","true","37.6337529","-76.6963468"
"01673800","SPTV2","USGS","PO RIVER NEAR SPOTSYLVANIA, VA","CONUS","3","true","true","38.1715215","-77.5947095"
"02011400","BCVV2","USGS","JACKSON RIVER NEAR BACOVA, VA","CONUS","3","true","true","38.04234707","-79.8814439"
"02011460","BKSV2","USGS","BACK CREEK NEAR SUNRISE, VA","CONUS","3","true","true","38.24540129","-79.76866328"
"01662800","LRLV2","USGS","BATTLE RUN NEAR LAUREL MILLS, VA","CONUS","3","true","true","38.65567564","-78.0738869"
"01664000","RENV2","USGS","RAPPAHANNOCK RIVER AT REMINGTON, VA","CONUS","3","true","true","38.53067996","-77.8136045"
"01666500","LOCV2","USGS","ROBINSON RIVER NEAR LOCUST DALE, VA","CONUS","3","true","true","38.32513047","-78.0955557"
"02017500","JCRV2","USGS","JOHNS CREEK AT NEW CASTLE, VA","CONUS","3","true","true","37.5062397","-80.106715"
"02024915","PLRV2","USGS","PEDLAR RIVER AT FOREST ROAD NEAR BUENA VISTA, VA","CONUS","3","true","true","37.6975","-79.2783333"
"02027000","TYLV2","USGS","TYE RIVER NEAR LOVINGSTON, VA","CONUS","3","true","true","37.71541868","-78.981691"
